Grupo,Equipo,Pts,GF,GC,DG,Posicion
A,México,9,5.04,2.2,2.8400002,1
A,Corea del Sur,6,4.55,3.3600001,1.1899999,2
A,Sudáfrica,3,2.25,4.6800003,-2.43,3
A,República Checa,0,3.33,4.9300003,-1.6,4
B,Suiza,5,4.3,3.4,0.9,1
B,Canadá,5,3.75,3.35,0.39999998,2
B,Bosnia-Herzegovina,4,3.5700002,4.05,-0.48000002,3
B,Catar,1,3.1,3.92,-0.81999993,4
C,Brasil,7,5.4700003,2.6200001,2.85,1
C,Marruecos,7,5.17,2.58,2.5900002,2
C,Escocia,3,3.1,3.83,-0.73,3
C,Haití,0,1.1,5.81,-4.71,4
D,EE. UU.,6,6.63,3.49,3.1399999,1
D,Australia,6,4.3,2.29,2.01,2
D,Turquía,6,3.1100001,4.19,-1.0799999,3
D,Paraguay,0,2.85,6.92,-4.0699997,4
E,Alemania,9,10.42,2.85,7.57,1
E,Costa de Marfil,6,3.9499998,2.31,1.64,2
E,Ecuador,3,2.74,3.63,-0.89000016,3
E,Curazao,0,2.52,10.84,-8.32,4
F,Países Bajos,7,5.7799997,4.01,1.77,1
F,Japón,7,5.32,4.07,1.25,2
F,Suecia,3,7.24,4.76,2.48,3
F,Túnez,0,2.84,8.34,-5.5,4
G,Bélgica,9,5.77,2.6399999,3.13,1
G,Irán,6,4.24,3.4099998,0.82999986,2
G,Egipto,3,3.44,4.08,-0.64,3
G,Nueva Zelanda,0,2.47,5.79,-3.3200002,4
H,España,7,4.65,1.52,3.13,1
H,Uruguay,6,4.7,3.48,1.22,2
H,Cabo Verde,4,2.21,2.73,-0.52,3
H,Arabia Saudí,0,2.3,6.13,-3.83,4
I,Francia,9,6.3999996,2.48,3.92,1
I,Senegal,6,4.5699997,3.48,1.09,2
I,Noruega,3,3.77,4.7,-0.9299999,3
I,Irak,0,2.21,6.29,-4.08,4
J,Argentina,9,6.12,2.47,3.65,1
J,Austria,6,4.56,3.6799998,0.88,2
J,Argelia,3,3.8600001,3.85,0.01000011,3
J,Jordania,0,1.94,6.48,-4.54,4
K,Portugal,9,5.75,2.83,2.92,1
K,Colombia,6,4.61,3.5,1.1099999,2
K,RD Congo,3,3.1000001,4.56,-1.46,3
K,Uzbekistán,0,2.8200002,5.3900003,-2.5700002,4
L,Inglaterra,9,6.25,2.67,3.5800002,1
L,Croacia,6,5.5,3.28,2.2200003,2
L,Panamá,3,3.09,5.2400002,-2.15,3
L,Ghana,0,2.54,6.19,-3.65,4
