Fase,Fechas,Local,Visitante,Marcador_Predicho,Avanza,xG_L,xG_V,Prob_1,Prob_X,Prob_2,Detalle
Dieciseisavos,28 jun - 3 jul,Alemania,Egipto,1-0,Alemania,1.81,0.75,80.2,16.4,3.4,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Francia,Ghana,2-0,Francia,2.55,0.57,86.6,10.5,2.9,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Corea del Sur,Canadá,1-1 (pen),Corea del Sur,1.33,1.21,36.9,38.6,24.5,Empate 1-1; gana en penaltis
Dieciseisavos,28 jun - 3 jul,Países Bajos,Marruecos,1-0,Países Bajos,1.49,1.22,43.2,27.2,29.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Colombia,Croacia,0-1,Croacia,1.2,1.64,13.5,24.0,62.5,Tiempo regular
Dieciseisavos,28 jun - 3 jul,España,Austria,2-1,España,1.87,1.12,53.1,33.0,13.9,Tiempo regular
Dieciseisavos,28 jun - 3 jul,EE. UU.,RD Congo,1-0,EE. UU.,1.4,1.02,49.6,29.7,20.7,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Bélgica,Bosnia-Herzegovina,2-0,Bélgica,2.04,0.91,73.7,20.6,5.7,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Brasil,Japón,1-0,Brasil,1.35,1.1,47.1,34.6,18.4,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Costa de Marfil,Noruega,1-0,Costa de Marfil,1.44,1.22,47.8,24.6,27.5,Tiempo regular
Dieciseisavos,28 jun - 3 jul,México,Suecia,2-1,México,1.78,1.15,68.8,21.9,9.3,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Inglaterra,Escocia,2-0,Inglaterra,2.24,0.86,78.9,18.3,2.8,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Argentina,Cabo Verde,2-0,Argentina,2.3,0.67,76.5,17.9,5.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Australia,Irán,0-1,Irán,0.94,1.45,16.4,23.4,60.2,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Suiza,Senegal,0-1,Senegal,1.17,1.55,22.0,29.4,48.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Portugal,Argelia,1-0,Portugal,1.66,1.03,69.8,18.9,11.3,Tiempo regular
Octavos,4 - 7 jul,Alemania,Francia,1-2,Francia,1.29,1.66,18.9,33.5,47.6,Tiempo regular
Octavos,4 - 7 jul,Corea del Sur,Países Bajos,0-1,Países Bajos,1.07,1.65,10.7,32.1,57.2,Tiempo regular
Octavos,4 - 7 jul,Croacia,España,1-2,España,1.2,1.83,11.3,39.4,49.2,Tiempo regular
Octavos,4 - 7 jul,EE. UU.,Bélgica,0-1,Bélgica,1.0,1.73,6.2,23.0,70.7,Tiempo regular
Octavos,4 - 7 jul,Brasil,Costa de Marfil,1-0,Brasil,1.44,1.1,46.8,33.2,20.0,Tiempo regular
Octavos,4 - 7 jul,México,Inglaterra,0-1,Inglaterra,1.02,1.86,9.4,17.7,72.8,Tiempo regular
Octavos,4 - 7 jul,Argentina,Irán,1-0,Argentina,1.73,0.92,65.6,24.3,10.1,Tiempo regular
Octavos,4 - 7 jul,Senegal,Portugal,0-1,Portugal,1.19,1.45,22.4,29.9,47.7,Tiempo regular
Cuartos,9 - 11 jul,Francia,Países Bajos,2-1,Francia,1.71,1.19,53.1,29.8,17.1,Tiempo regular
Cuartos,9 - 11 jul,España,Bélgica,2-1,España,1.75,1.24,46.0,43.8,10.1,Tiempo regular
Cuartos,9 - 11 jul,Brasil,Inglaterra,0-1,Inglaterra,1.16,1.69,16.3,28.7,55.1,Tiempo regular
Cuartos,9 - 11 jul,Argentina,Portugal,2-1,Argentina,1.57,1.34,43.0,38.6,18.4,Tiempo regular
Semifinales,14 - 15 jul,Francia,España,1-1 (pen),Francia,1.49,1.41,31.9,39.8,28.3,Empate 1-1; gana en penaltis
Semifinales,14 - 15 jul,Inglaterra,Argentina,0-1,Argentina,1.4,1.39,30.3,34.6,35.2,Tiempo regular
3er Puesto,18 jul,España,Inglaterra,1-1 (pen),España,1.47,1.38,34.6,40.5,24.9,Empate 1-1; gana en penaltis
Final,19 jul,Francia,Argentina,1-0,Francia,1.51,1.28,41.5,32.2,26.3,Tiempo regular
