,R32,Octavos,Cuartos,Semis,Final,Campeon
Francia,100.0,96.4,70.5,59.7,38.6,27.6
España,100.0,80.7,66.5,57.3,33.8,20.6
Argentina,100.0,93.2,82.2,63.7,41.2,20.4
Inglaterra,100.0,89.6,79.0,64.2,36.2,16.0
Alemania,100.0,95.4,29.5,17.1,7.9,3.9
Bélgica,99.7,90.6,78.4,25.7,8.1,3.1
Portugal,100.0,79.7,56.0,22.3,9.0,2.7
Países Bajos,100.0,58.3,51.2,16.8,6.6,2.2
Brasil,100.0,70.3,50.6,16.0,5.1,1.0
Croacia,100.0,72.6,20.8,10.6,3.1,0.7
Senegal,88.2,42.7,22.3,7.1,2.3,0.4
Marruecos,100.0,42.4,32.8,6.2,1.6,0.3
Austria,100.0,23.8,9.4,3.3,0.8,0.2
Japón,100.0,29.0,19.3,4.0,1.0,0.2
México,100.0,78.4,12.9,6.1,1.4,0.2
Irán,92.4,64.0,13.0,4.1,1.0,0.1
Costa de Marfil,100.0,62.5,19.4,3.4,0.6,0.1
Colombia,100.0,29.9,10.4,2.7,0.4,0.1
Suiza,100.0,45.9,12.6,2.3,0.4,0.0
Noruega,100.0,37.5,9.4,1.6,0.3,0.0
EE. UU.,100.0,66.4,10.4,0.9,0.1,0.0
Corea del Sur,99.3,25.0,6.4,1.2,0.2,0.0
Cabo Verde,83.7,6.2,1.0,0.1,0.0,0.0
Uruguay,15.5,5.1,1.7,0.5,0.1,0.0
Australia,100.0,27.4,3.5,0.6,0.1,0.0
Canadá,100.0,80.7,14.4,0.8,0.1,0.0
Argelia,89.8,20.7,5.1,0.6,0.1,0.0
Suecia,100.0,12.0,1.8,0.3,0.0,0.0
Egipto,100.0,16.2,2.8,0.2,0.0,0.0
Sudáfrica,100.0,19.3,2.1,0.1,0.0,0.0
RD Congo,47.0,9.9,1.3,0.0,0.0,0.0
Bosnia-Herzegovina,100.0,17.5,2.4,0.1,0.0,0.0
Paraguay,61.2,5.7,0.7,0.0,0.0,0.0
Ghana,100.0,3.6,0.1,0.0,0.0,0.0
Arabia Saudí,16.3,0.3,0.0,0.0,0.0,0.0
Catar,0.0,0.0,0.0,0.0,0.0,0.0
Curazao,0.2,0.0,0.0,0.0,0.0,0.0
Ecuador,1.1,0.3,0.1,0.0,0.0,0.0
Escocia,5.3,0.5,0.1,0.0,0.0,0.0
Haití,0.0,0.0,0.0,0.0,0.0,0.0
Irak,0.0,0.0,0.0,0.0,0.0,0.0
Jordania,0.0,0.0,0.0,0.0,0.0,0.0
Nueva Zelanda,0.3,0.1,0.0,0.0,0.0,0.0
Panamá,0.0,0.0,0.0,0.0,0.0,0.0
República Checa,0.0,0.0,0.0,0.0,0.0,0.0
Turquía,0.0,0.0,0.0,0.0,0.0,0.0
Túnez,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistán,0.1,0.0,0.0,0.0,0.0,0.0
